Item Name,Average Unit Cost,Department Name
HO22 CV JOINTS,10.52,CV JOINTS
CBT 60,4.14,BALL JOINTS
BJ18 BALL JOINTS,4.11,BALL JOINTS
DAC3871/39 WHEEL B,3.6,WHEEL BEARING
17220-RZA-G00 AF,3,AIR FILTERS
17220-REA-Z00,2,AIR FILTERS
54320-50Y12 SHOCK P,6,SHOCK PADS
CBT64,2.9,BALL JOINTS
UC2M-99-354,2.58,BALL JOINTS
BJ219 / CBIS 17,3.76,BALL JOINTS
DAC3874 WHEEL B,2.95,WHEEL BEARING
17801-74060,1.9,AIR FILTERS
IF41,2,NON GUD FUEL AND OIL FILTERS
48609-44020 SHOCK PADS,6.39,SHOCK PADS
48071/2-12140 SHOCK P,4.79,SHOCK PADS
CBT57 BALL JOINTS,4.34,BALL JOINTS
CBT21 BALL JOINTS,3.6,BALL JOINTS
CBIS20 BALL JOINTS,3.93,BALL JOINTS
DAC438245 WHEEL B,5.21,WHEEL BEARING
48609-0D150 SHOCK P,4.89,SHOCK PADS
48609-BZ010 SHOCK P,8,SHOCK PADS
A337 BRAKE P,3.45,BRAKE PADS
CBT68 BALL JOINTS,5.59,BALL JOINTS
CBT82/83,5,BALL JOINTS
CBIS19 BALL JOINTS,4.93,BALL JOINTS
6201 WHEEL BEARING,0.24,WHEEL BEARING
17801-54100 AF,3.53,AIR FILTERS
54320-65E00 SHOCK P,6,SHOCK PADS
MB589511 BRAKE P,5,BRAKE PADS
CBT58 BALL JOINTS,3.62,BALL JOINTS
CBIS15 BALL JOINTS,4.7,BALL JOINTS
17801-23030 AF,1.23,AIR FILTERS
CBM33 / HBM33 BALL JOINTS,7.5,BALL JOINTS
CBIS 14 BALL JOINTS,2.9,BALL JOINTS
23300-19145,1.8,NON GUD FUEL AND OIL FILTERS
48609-12190 SHOCK P,6.25,SHOCK PADS
37521-41L25 / 37521-56G25,6.9,CENTRE BEARING
CBT25 BALL JOINTS,4.63,BALL JOINTS
CBIS 5 BALL JOINTS,3.45,BALL JOINTS
DAC3564/37 WHEELB,3.3,WHEEL BEARING
16400-72L00,2,NON GUD FUEL AND OIL FILTERS
8200697875,2,NON GUD FUEL AND OIL FILTERS
54320-4M400,5.7,SHOCK PADS
A614 BRAKE P,3.65,BRAKE PADS
CBT49R/L,8.28,BALL JOINTS
43308-29255 BALL JOINTS,5,BALL JOINTS
42072-AA010 AF,2,NON GUD FUEL AND OIL FILTERS
8-97942-876-0 CB,9.53,CENTRE BEARING
A671 / 04465-33320,3.388,BRAKE PADS
43330-39625 BALL JOINTS,7.23,BALL JOINTS
43330-39765 BALL JOINTS,5,BALL JOINTS
48609-47010 SHOCK PADS,6,SHOCK PADS
48609-12270,4.92,SHOCK PADS
MB589584 / A493,2.91,BRAKE PADS
A318 BRAKE P,3.25,BRAKE PADS
A133 / AS083-33-28Z,3.08,BRAKE PADS
A465 / 04465-33130,3.76,BRAKE PADS
50841-SR3-984,6,ENGINE MOUNTING
45700-69175 SHOCKS,11.85,SHOCKS
48609-12520 SHOCK P,6.68,SHOCK PADS
A217,3.43,BRAKE PADS
A667 BRAKE P,3.62,BRAKE PADS
41060-EB326 BRAKE P,7,BRAKE PADS
A708 BRAKE P,4.93,BRAKE PADS
A455 / 45022-SNA-A52,3.81,BRAKE PADS
54502/3-01G50,14,CONTROL ARMS
12305-22430 / 22240,11.47,ENGINE MOUNTING
48530/40-39565/ 39155 / 334133,15,SHOCKS
48750-20050 SHOCK P,4.83,SHOCK PADS
A334 BRAKE P,4.42272,BRAKE PADS
A233 BRAKE P,4.6,BRAKE PADS
A118 /04465-36020,5.53,BRAKE PADS
04465-OK160 BRAKE P,4.33,BRAKE PADS
11360-ED000 / EL00A,10.73,ENGINE MOUNTING
48341-28090,5.62,ENGINE MOUNTING
48531-0K140 / 349015,10.85,SHOCKS
B25D-34-700/900 / 333274/5,17.35,SHOCKS
48609-52011 / OD080,4.5,SHOCK PADS
A636,4.42,BRAKE PADS
A606,4.14,BRAKE PADS
A714 BRAKE P,3.08,BRAKE PADS
A675 / 410-EE30J,4.7,BRAKE PADS
48066/7-29225,18.99,CONTROL ARMS
12372-15200,10.32,ENGINE MOUNTING
48531-B1040 / 343406,7.18,SHOCKS
48510/20-12B20 / 333455/6,14.29,SHOCKS
48531-0K050 / 349023,11.85,SHOCKS
48609-20280 SHOCK P,6,SHOCK PADS
A733,3.45,BRAKE PADS
A288 BRAKE P,4,BRAKE PADS
A470 BRAKE PADS,3.52,BRAKE PADS
A113 /04465-YZZ50,3.76,BRAKE PADS
11210-6N00A ENGINE M,7.23,ENGINE MOUNTING
48511-60120 / 344060,7.88,SHOCKS
A659 / 04466-33130,2.68,BRAKE PADS
A135 / 04465-YZZ56,3.27,BRAKE PADS
A322 BRAKE P,3.59,BRAKE PADS
MP3804E BRAKE P,6.82,BRAKE PADS
54500/1-ED50A,11.95,CONTROL ARMS
UC2R-34-300/350,25,CONTROL ARMS
