SKU,Name,AroniumPrice,AppPrice,AroniumTax,AppTax,AroniumStock,AppStock,Status,Diff
10391,Reskol,5.00,5.00,0,0,0.0,0.0,OK,
10393,Sakura 1Litre,12.00,12.00,0,0,0.0,0.0,OK,
10394,Systamex Plus Fluke 1000ml,20.00,20.00,0,0,0.0,0.0,OK,
10395,Valbazem for Cattle 200mls,6.50,6.50,0,0,0.0,0.0,OK,
10397,Vitol 140 - 100mls,9.00,9.00,0,0,0.0,4.0,OK,
10400,Ranox 500ml,10.00,10.00,0,0,0.0,0.0,OK,
10401,Sunﬂower Meal 30kg,18.00,18.00,0,0,0.0,0.0,OK,
10402,Super Rat Killer 300g,4.00,4.00,0,0,0.0,0.0,OK,
10403,Cypermethrin Sentinel 200mls,4.50,4.50,0,0,0.0,0.0,OK,
10404,Avi- Tonics 500ml,8.00,8.00,0,0,0.0,0.0,OK,
10405,Charcoal Saga,15.00,15.00,15.5,15.5,0.0,0.0,OK,
10409,Mhunga Bucket,13.00,13.00,15.5,15.5,0.0,0.0,OK,
10410,Mortein 300ml,3.00,3.00,15.5,15.5,0.0,0.0,OK,
10411,Rechargable Touch Light,25.00,25.00,15.5,15.5,0.0,0.0,OK,
10412,Doom 150mls,2.00,2.00,15.5,15.5,0.0,0.0,OK,
10413,Rain Coat,10.00,10.00,15.5,15.5,0.0,0.0,OK,
10414,Rainsuit,12.00,12.00,15.5,15.5,0.0,0.0,OK,
10415,Broiler Starter meal 10kg,10.00,10.00,0,0,0.0,0.0,OK,
10416,SPRAYER BOTTLE -2 LITRES,5.00,5.00,15.5,15.5,0.0,0.0,OK,
10417,Coopers Triatix 2 Litres,48.00,48.00,0,0,0.0,0.0,OK,
10418,Dimethoate 200ml,4.00,4.00,0,0,0.0,0.0,OK,
10419,DIMETHOATE 500MLS AGRICURA,7.00,7.00,0,0,0.0,0.0,OK,
10420,Handspray Farm Jet 2L,5.00,5.00,15.5,15.5,0.0,5.0,OK,
10421,Chikafu Starter Meal 5kg,5.00,5.00,0,0,0.0,0.0,OK,
10422,Chikafu Grower Meal 5kg,5.00,5.00,0,0,0.0,1.0,OK,
10423,Snake Repellent,9.00,9.00,0,0,0.0,0.0,OK,
10424,Rain Completive Suit,12.00,12.00,15.5,15.5,0.0,0.0,OK,
10425,Rain Reﬂective Suit,15.00,15.00,15.5,15.5,0.0,0.0,OK,
10426,Chick Grower Concentrate 50kg,35.00,35.00,0,0,0.0,0.0,OK,
10427,Umbrella,3.00,3.00,15.5,15.5,0.0,0.0,OK,
